dominio,fuente_logica,campo_fuente,transformacion_principal,campo_plata,feature_modelo,implementacion_modelo,salida_oro,observacion
favoritismo,SEACE/OCDS o sintético,id_proveedor,validación de identidad/adjudicatario y agrupación proveedor-entidad,id_proveedor,clave de agrupación,sklearn RF / Spark MLlib RF,ranking_riesgo_favoritismo.id_proveedor,En OCDS real el supplier se resuelve por Contract -> Award -> Supplier.
favoritismo,SEACE/OCDS o sintético,id_entidad,normalización de entidad compradora y agrupación proveedor-entidad,id_entidad,clave de agrupación,sklearn RF / Spark MLlib RF,ranking_riesgo_favoritismo.id_entidad,Entidad compradora; no implica relación irregular.
favoritismo,SEACE/OCDS o sintético,id_contrato,conteo por proveedor-entidad,id_contrato,n_contratos,sklearn RF / Spark MLlib RF,ranking_riesgo_favoritismo.n_contratos,En OCDS real la clave analítica es OCID::contract.id.
favoritismo,SEACE/OCDS o sintético,monto,imputación de nulos; agregación por proveedor-entidad,monto,monto_total / monto_promedio,sklearn RF / Spark MLlib RF,ranking_riesgo_favoritismo.score_riesgo_favoritismo,"El score es señal de priorización, no hallazgo."
favoritismo,SEACE/OCDS o sintético,modalidad,separación semántica de modalidades,es_contratacion_directa,pct_contratacion_directa,sklearn RF / Spark MLlib RF,ranking_riesgo_favoritismo.pct_contratacion_directa,Comparación de Precios no se equipara a Contratación Directa.
favoritismo,SEACE/OCDS o sintético,modalidad,separación semántica de modalidades,es_comparacion_precios,pct_comparacion_precios,sklearn RF / Spark MLlib RF,ranking_riesgo_favoritismo.pct_comparacion_precios,Feature independiente.
favoritismo,SEACE/OCDS o sintético,objeto,número de objetos distintos por proveedor-entidad,objeto,n_objetos_unicos / concentracion_objeto,sklearn RF / Spark MLlib RF,ranking_riesgo_favoritismo.score_riesgo_favoritismo,"Concentración es señal estadística, no prueba de favoritismo."
favoritismo,SIAF/legajo sintético o institucional,id_funcionario,conteo de funcionarios distintos por proveedor-entidad,id_funcionario,n_funcionarios_distintos / monto_por_funcionario,sklearn RF / Spark MLlib RF,ranking_riesgo_favoritismo.score_riesgo_favoritismo,OCDS abierto no contiene funcionarios individuales.
favoritismo,SEACE/OCDS o sintético,fecha_contrato,rango temporal por proveedor-entidad,fecha_contrato,dias_actividad / contratos_por_mes,sklearn RF / Spark MLlib RF,ranking_riesgo_favoritismo.score_riesgo_favoritismo,Feature de intensidad temporal.
fraccionamiento,SEACE/OCDS o sintético,id_proveedor + id_entidad + objeto,agrupación de contratos comparables,id_proveedor + id_entidad + objeto,clave de grupo,sklearn IsolationForest / Spark MLlib KMeans,ranking_riesgo_fraccionamiento.clave_grupo,La agrupación es una aproximación analítica para priorización.
fraccionamiento,SEACE/OCDS o sintético,fecha_contrato,ventana móvil de 15 días,fecha_contrato,max_contratos_ventana_15d,sklearn IsolationForest / Spark SQL + KMeans,ranking_riesgo_fraccionamiento.max_contratos_ventana_15d,Ventana configurable en una implementación institucional.
fraccionamiento,SEACE/OCDS o sintético,monto,suma dentro de ventana y grupo,monto,monto_total_ventana_15d / monto_total_grupo,sklearn IsolationForest / Spark MLlib KMeans,ranking_riesgo_fraccionamiento.score_anomalia,Score de anomalía relativo.
fraccionamiento,SEACE/OCDS o sintético,fecha_contrato + categoria_principal + monto,consulta al motor normativo por fecha/régimen/categoría,umbral_aplicable,pct_montos_bajo_umbral,sklearn IsolationForest / Spark SQL + KMeans,ranking_riesgo_fraccionamiento.senal_priorizacion_fraccionamiento,No constituye determinación jurídica de fraccionamiento.
vinculos,RNP/SUNAT/legajo sintético o institucional,telefono,comparación proveedor-funcionario,telefono,comparte_telefono,NetworkX / Spark GraphFrames,ranking_vinculos_proveedor_funcionario.comparte_telefono,Datos de contacto son sintéticos en el PoC.
vinculos,RNP/SUNAT/legajo sintético o institucional,direccion,comparación proveedor-funcionario,direccion,comparte_direccion,NetworkX / Spark GraphFrames,ranking_vinculos_proveedor_funcionario.comparte_direccion,Datos de contacto son sintéticos en el PoC.
arquitectura,data/*.csv,fuentes sintéticas,copia sin transformación,lakehouse/bronce/*,N/A,ETL local PoC,N/A,Bronce simula la capa raw del TDR.
arquitectura,lakehouse/bronce/*,contratos/dimensiones,"limpieza, imputación y feature engineering",lakehouse/plata/*,datasets de modelado,ETL local PoC,N/A,Los modelos canónicos consumen Plata.
arquitectura,lakehouse/plata/*,features/dimensiones,scoring/modelado,N/A,scores y señales,sklearn + Spark MLlib/GraphFrames,lakehouse/oro/ranking_*.csv,Oro contiene solo salidas downstream; no datasets intermedios.
